
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:64:72:36:67:30, 2019-12-05 20:43:35, 2019-12-06 19:11:51,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:36:64:00, 2019-12-06 07:49:53, 2019-12-06 18:08:02,  6,  -1, WPA, ,   ,  -1,        0,     1320,   0.  0.  0.  0,   0, , 
18:64:72:12:42:A0, 2019-12-05 20:43:57, 2019-12-06 17:58:25,  1,  24, WPA2, CCMP, MGT, -78,       15,      261,   0.  0.  0.  0,   7, eduroam, 
40:E3:D6:1E:4B:81, 2019-12-06 07:51:49, 2019-12-06 17:39:28,  6,  -1, OPN, ,   ,  -1,        0,      111,  10. 62. 70. 43,   8, bulldogs, 
18:64:72:12:42:30, 2019-12-06 13:24:44, 2019-12-06 17:10:43,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:12:42:50, 2019-12-06 08:05:08, 2019-12-06 16:59:11,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:12:42:42, 2019-12-06 09:50:30, 2019-12-06 16:28:22,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:36:3E:50, 2019-12-06 15:51:15, 2019-12-06 15:51:15,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:E3:D6:1E:4B:82, 2019-12-06 08:56:22, 2019-12-06 15:38:01,  6,  -1, WPA, ,   ,  -1,        0,       17,   0.  0.  0.  0,   0, , 
D4:CA:6E:0B:98:E9, 2019-12-06 15:38:03, 2019-12-06 15:38:03,  6,  54, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,  13, MyVolvoBlwq32, 
94:B4:0F:2A:6B:D0, 2019-12-05 22:22:55, 2019-12-06 15:08:58,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:36:64:01, 2019-12-06 07:37:32, 2019-12-06 15:03:21,  6,  -1, OPN, ,   ,  -1,        0,       99,  10. 62. 79.176,   0, , 
40:E3:D6:1E:4B:91, 2019-12-06 08:58:41, 2019-12-06 15:02:56,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:B4:0F:2A:6B:C1, 2019-12-06 08:05:01, 2019-12-06 14:51:55,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:36:64:11, 2019-12-06 08:14:19, 2019-12-06 14:51:31,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:E3:D6:1E:4B:90, 2019-12-05 20:57:33, 2019-12-06 14:50:54,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:B4:0F:29:2A:C1, 2019-12-06 14:42:57, 2019-12-06 14:42:57,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:12:43:10, 2019-12-06 08:54:30, 2019-12-06 14:40:47,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:B4:0F:2A:6B:D2, 2019-12-06 07:27:35, 2019-12-06 14:19:53,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:12:42:B0, 2019-12-06 10:03:11, 2019-12-06 14:08:06,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2019-12-05 20:41:22, 2019-12-06 14:06:32,  6,  -1, OPN, ,   ,  -1,        0,      105,   0.  0.  0.  0,   0, , 
18:64:72:36:99:00, 2019-12-06 09:52:21, 2019-12-06 14:05:09,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:36:67:31, 2019-12-06 10:59:14, 2019-12-06 13:49:57,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:38:35:80, 2019-12-06 13:41:08, 2019-12-06 13:41:08,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:12:46:C1, 2019-12-05 20:42:26, 2019-12-06 13:27:06,  6,  54, OPN, ,   , -79,        4,        5,  10. 62.112. 25,   8, bulldogs, 
94:B4:0F:2A:6B:D1, 2019-12-06 13:07:41, 2019-12-06 13:07:54,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:12:42:41, 2019-12-06 03:10:21, 2019-12-06 13:04:18,  1,  -1, OPN, ,   ,  -1,        0,        1,  10. 62.112.138,   0, , 
18:64:72:12:42:D1, 2019-12-06 12:52:43, 2019-12-06 12:52:43,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:36:64:02, 2019-12-06 12:12:41, 2019-12-06 12:43:20,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
94:B4:0F:2A:6B:C3, 2019-12-06 11:41:16, 2019-12-06 11:41:16,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:36:99:10, 2019-12-06 09:51:58, 2019-12-06 11:39:04,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:64:72:12:43:11, 2019-12-06 10:56:45, 2019-12-06 10:56:51,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:B4:0F:96:EC:61, 2019-12-06 10:53:13, 2019-12-06 10:53:17,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
